epoca,mse
1,1.047072
2,0.960236
3,0.958281
4,0.956110
5,0.952939
6,0.949153
7,0.943979
8,0.936780
9,0.927647
10,0.916133
11,0.902676
12,0.887628
13,0.871201
14,0.854142
15,0.837614
16,0.817555
17,0.798146
18,0.775902
19,0.751152
20,0.725187
21,0.697686
22,0.668499
23,0.640138
24,0.610134
25,0.580066
26,0.552606
27,0.524795
28,0.498804
29,0.474842
30,0.452194
31,0.430911
32,0.410409
33,0.391322
34,0.376107
35,0.361305
36,0.346746
37,0.333436
38,0.320907
39,0.308319
40,0.297546
41,0.288621
42,0.280887
43,0.270658
44,0.263656
45,0.255724
46,0.248260
47,0.240177
48,0.235388
49,0.227910
50,0.222505
51,0.217826
52,0.211455
53,0.206392
54,0.201076
55,0.197871
56,0.193102
57,0.187515
58,0.183325
59,0.180682
60,0.176505
61,0.172250
62,0.169221
63,0.165999
64,0.162876
65,0.158284
66,0.156094
67,0.153567
68,0.150788
69,0.147051
70,0.145064
71,0.142346
72,0.139768
73,0.138902
74,0.135196
75,0.133596
76,0.129843
77,0.129145
78,0.126634
79,0.124950
80,0.123338
81,0.121128
82,0.119953
83,0.117085
84,0.116182
85,0.114128
86,0.112120
87,0.111386
88,0.108983
89,0.107099
90,0.106616
91,0.104877
92,0.103883
93,0.101761
94,0.101394
95,0.099813
96,0.097668
97,0.096755
98,0.095384
99,0.094734
100,0.093056
